signature,slot,block_time_utc,received_at,tx_success,hero_movements,world_calls,quest_hero_updates,market_sales,source
RPnJAmeiFNTSbycBt5nXFmbYzXRJKqbXymx9QYGMwGJBCzLcbDUdxTk2UiY1voifZsZT3wDPaqy6YU172n5ZmAn,442762019,2026-08-30T02:09:38.000Z,2026-08-30T02:09:41.154Z,1,,,0,,HELIUS_D1_RAW
2NdWdgrvAL9Coz9Au1AWsj7hNDHKXjGqK5pVVjLCyR6cS55DwaRhT4mS9iU5ehpstKwp6DwrAGeWrpNCMjQJVNSN,442767431,2026-08-30T02:38:23.000Z,2026-08-30T02:38:26.133Z,1,,QUEST_RESTART,4,,HELIUS_D1_RAW
3HDgUbNpMiN1REHnwNPZ2FivDXwyCBKjRJspkfnAfYTDPgjn3XLHw3XgXJq5NQ359KGPyySTQniV8HLKqXYZXFxJ,442777733,2026-08-30T03:32:52.000Z,2026-08-30T03:32:54.459Z,1,,,0,,HELIUS_D1_RAW
39ucgSPyut1ZQURga2i4Cpk2bNSH19o5YT1yAvdqZMDmT6ZHdov8vkRWRZfAFjMVTGnriSpgCEEKoTvLFev9z2r1,442777888,2026-08-30T03:33:42.000Z,2026-08-30T03:33:44.576Z,1,,,0,,HELIUS_D1_RAW
3uLEcNBZRa1aLgthwibDGhnqCBX3yPRKrEvoaLXv3sKdJuiBKKizx3qHNR29PpwnoUuQY5FNmfbpi81wA6WhUau6,442800074,2026-08-30T05:30:49.000Z,2026-08-30T05:30:51.634Z,1,,,0,,HELIUS_D1_RAW
5BhwkFWifxchZMbvfi6WPHZVJiSUAfLsS7g6aG4HCXXQUognwJthJPKzKJwtuTEiDDAvqXwUmf7LdtuNFgWrJmhw,442804664,2026-08-30T05:55:01.000Z,2026-08-30T05:55:04.297Z,1,,,0,,HELIUS_D1_RAW
2JTWGF3u9HyWEAnGr1jU57YzvbpDpUXUnTzCrjMiLfj3tjcEAAVG67u492pUqqL2rdLPs9GjALEVcJZtdtweTr6c,442804700,2026-08-30T05:55:12.000Z,2026-08-30T05:55:16.719Z,1,,,0,,HELIUS_D1_RAW
5P32cTFoAYqocdsCteuhn7zmu1KRvSaVPjDikyL6iagYvuWDMocRVPLAUYBS7z6CjpHzBh7B4afHs4GfYspLWefZ,442804763,2026-08-30T05:55:34.000Z,2026-08-30T05:55:36.127Z,1,,,0,,HELIUS_D1_RAW
5WV4aozCmuruKBxV8fYHckkYnup7v8p93Tx3odCxwYHU7kNixPgUeSTNUiMaBgwxrf5pK7VMiD1ACL4Wvqwymf5h,442804790,2026-08-30T05:55:42.000Z,2026-08-30T05:55:45.742Z,1,,,0,,HELIUS_D1_RAW
38SViGCs9fUapQEKS4bi1MMJY3g7FBU7nsPeh2nbagmpYrWKZy9j4vH4tiqPjH9srmSrPVYJ8jkheQX9SddJARhf,442804876,2026-08-30T05:56:09.000Z,2026-08-30T05:56:11.818Z,1,,,0,,HELIUS_D1_RAW
BuzyFD4aju8Jpyxqi38eGDLZ3a4W3TNNtaaXoHzinvNZhHJgybu1dncFZH9knjiExNsypoRBTZdANBuBrP2C8ri,442806528,2026-08-30T06:04:50.000Z,2026-08-30T06:04:53.191Z,1,,,0,,HELIUS_D1_RAW
4Ap2Wt3rC7NHQqPmmXpG9dNeBasaBhGUahCYeWXs4GpQV7An8eQMZaW1nGX7xrVqCUWp1nHJLJkGK5hckiUtCCDw,442828715,2026-08-30T08:01:52.000Z,2026-08-30T08:01:55.102Z,0,,,0,,HELIUS_D1_RAW
56YYEsEjfo1r6HVHuaUx9bigUqnmMqLknFcu8BjZFGEj4FKHNFaWRemgcmYAj1Pu1eHrRfJmHj5B1xiE9n5T3yZr,442828715,2026-08-30T08:01:52.000Z,2026-08-30T08:01:55.084Z,1,,,0,,HELIUS_D1_RAW
4FMeJZtxpB1uh5RVftd8tRjSKg6HXUyWzTPyeT8eqiPkX7FGBFedq5SYhAB1b8EKULR2WCeLbpF4Dbzqu4XKV24z,442837853,2026-08-30T08:50:02.000Z,2026-08-30T08:50:04.190Z,1,,,0,,HELIUS_D1_RAW
4NTKAprDjtXLYAWkCsVqGRGzRkhGpwvfymbgq3uUmBaQkdLSVVmwgdXwi8PCwUER32FvCkoDT7zWuwT7kpmaKRA,442837853,2026-08-30T08:50:02.000Z,2026-08-30T08:50:04.186Z,1,,,0,,HELIUS_D1_RAW
