snapshot_date,floor_open_sol,floor_high_sol,floor_low_sol,floor_close_sol,listed_count
2022-06-10,1.249,1.25,1.2,1.24,572
2022-06-11,1.24,1.3,1.2,1.3,554
2022-06-12,1.3,1.45,1.28,1.45,508
2022-06-13,1.45,1.45,1.1,1.45,488
2022-06-14,1.45,1.45,1.3,1.4,485
2022-06-15,1.4,1.4,1.3,1.39,485
2022-06-16,1.39,1.9,1.33,1.85,366
2022-06-17,1.85,1.85,1.5,1.62,395
2022-06-18,1.62,1.62,1.29,1.45,438
2022-06-19,1.45,1.5,1.2,1.5,441
2022-06-20,1.5,1.5,1.39,1.496,453
2022-06-21,1.496,1.496,1.4,1.479,448
2022-06-22,1.479,1.48,1.4,1.4,455
2022-06-23,1.4,1.4,1.35,1.4,461
2022-06-24,1.4,1.4,1.2,1.38,467
2022-06-25,1.38,1.45,1.2,1.45,455
2022-06-26,1.45,1.45,1.4,1.4,454
2022-06-27,1.4,1.4,1.25,1.25,461
2022-06-28,1.25,1.25,1.25,1.25,463
2022-06-29,1.25,1.25,1.25,1.25,463
2022-06-30,1.25,1.3,1.15,1.25,471
2022-07-01,1.25,1.25,1.2,1.2,494
2022-07-02,1.2,1.2,1.0,1.15,485
2022-07-03,1.15,1.27,1.0,1.27,459
2022-07-04,1.27,1.27,1.15,1.15,481
2022-07-05,1.15,1.15,0.925,0.925,465
2022-07-06,0.925,1.15,0.925,1.15,467
2022-07-07,1.15,1.15,1.0,1.09,466
2022-07-08,1.09,1.25,1.09,1.25,466
2022-07-09,1.25,1.35,1.25,1.35,462
2022-07-10,1.35,1.42,0.7,1.399,463
2022-07-11,1.399,1.399,1.35,1.35,466
2022-07-12,1.35,1.35,1.3,1.33,494
2022-07-13,1.33,1.45,1.2,1.2,477
2022-07-14,1.2,1.22,1.2,1.22,479
2022-07-15,1.22,1.22,1.2,1.2,490
2022-07-16,1.2,1.2,1.17,1.17,488
2022-07-17,1.17,1.41,1.07,1.4,473
2022-07-18,1.4,1.4,1.1,1.34,477
2022-07-19,1.34,1.34,1.24,1.24,492
2022-07-20,1.24,1.24,1.0,1.1,496
2022-07-21,1.1,1.1,1.04,1.04,485
2022-07-22,1.04,1.23,1.0,1.1,495
2022-07-23,1.1,1.1,0.89,1.1,509
2022-07-24,1.1,1.1,1.07,1.07,521
2022-07-25,1.07,1.07,0.93,0.93,516
2022-07-26,0.93,1.075,0.5,1.04,505
2022-07-27,1.04,1.04,1.0,1.04,509
2022-07-28,1.04,1.04,1.0,1.02,518
2022-07-29,1.02,1.02,0.9,1.0,527
2022-07-30,1.0,1.0,0.8,0.9,544
2022-07-31,0.9,1.01,0.89,0.96,541
2022-08-01,0.96,0.96,0.9,0.94,558
2022-08-02,0.94,0.94,0.88,0.88,565
2022-08-03,0.88,0.88,0.5,0.83,574
2022-08-04,0.83,0.83,0.62,0.75,566
2022-08-05,0.75,0.75,0.72,0.72,574
2022-08-06,0.72,0.73,0.69,0.73,569
2022-08-07,0.73,0.73,0.73,0.73,571
2022-08-08,0.73,0.73,0.68,0.68,556
2022-08-09,0.68,0.72,0.68,0.7,543
2022-08-10,0.7,0.7,0.67,0.7,536
2022-08-11,0.7,0.7,0.7,0.7,539
2022-08-12,0.7,0.7,0.59,0.59,535
2022-08-13,0.59,0.7,0.5,0.69,528
2022-08-14,0.69,0.69,0.67,0.67,541
2022-08-15,0.67,0.67,0.65,0.66,538
2022-08-16,0.66,0.66,0.49,0.64,554
2022-08-17,0.64,0.64,0.64,0.64,543
2022-08-18,0.64,0.64,0.629,0.629,548
2022-08-19,0.629,0.63,0.6,0.6,534
2022-08-20,0.6,0.6,0.59,0.6,527
2022-08-21,0.6,0.6,0.6,0.6,525
2022-08-22,0.6,0.7,0.6,0.7,518
2022-08-23,0.7,0.8,0.7,0.799,512
2022-08-24,0.799,0.85,0.799,0.85,500
2022-08-25,0.85,0.85,0.75,0.75,498
2022-08-26,0.75,0.85,0.7,0.85,498
2022-08-27,0.85,0.85,0.85,0.85,495
2022-08-28,0.85,0.85,0.84,0.84,488
2022-08-29,0.84,0.84,0.8,0.82,494
2022-08-30,0.82,0.83,0.78,0.79,495
2022-08-31,0.79,0.79,0.79,0.79,514
2022-09-01,0.79,0.79,0.79,0.79,519
2022-09-02,0.79,0.79,0.79,0.79,516
2022-09-03,0.79,0.79,0.72,0.76,513
2022-09-04,0.76,0.79,0.76,0.79,508
2022-09-05,0.79,0.79,0.7,0.789,511
2022-09-06,0.789,0.84,0.789,0.83,512
2022-09-07,0.83,0.83,0.79,0.82,512
2022-09-08,0.82,0.82,0.79,0.79,519
2022-09-09,0.79,0.79,0.78,0.78,529
2022-09-10,0.78,0.78,0.74,0.74,540
2022-09-11,0.74,0.74,0.7,0.7,544
2022-09-12,0.7,0.74,0.69,0.74,549
2022-09-13,0.74,0.74,0.72,0.74,547
2022-09-14,0.74,0.74,0.7399,0.7399,568
2022-09-15,0.7399,0.74,0.7,0.74,560
2022-09-16,0.74,0.74,0.69,0.725,568
2022-09-17,0.725,0.74,0.7,0.74,546
2022-09-18,0.74,0.74,0.69,0.74,550
2022-09-19,0.74,0.74,0.7,0.74,540
2022-09-20,0.74,0.74,0.65,0.74,535
2022-09-21,0.74,0.74,0.74,0.74,527
2022-09-22,0.74,0.98,0.74,0.97,462
2022-09-23,0.97,1.0,0.969,1.0,473
2022-09-24,1.0,1.0,0.95,0.95,482
2022-09-25,0.95,0.95,0.8,0.95,478
2022-09-26,0.95,1.0,0.95,0.999,467
2022-09-27,0.999,0.999,0.9,0.9,472
2022-09-28,0.9,0.9,0.88,0.88,473
2022-09-29,0.88,0.88,0.879,0.879,477
2022-09-30,0.879,0.879,0.875,0.875,479
2022-10-01,0.875,0.875,0.84,0.84,483
2022-10-02,0.84,0.84,0.75,0.75,476
2022-10-03,0.75,0.8,0.75,0.79,478
2022-10-04,0.79,0.8,0.75,0.75,469
2022-10-05,0.75,0.75,0.69,0.69,465
2022-10-06,0.69,0.8,0.63,0.8,463
2022-10-07,0.8,0.83,0.8,0.83,465
2022-10-08,0.83,0.83,0.82,0.83,460
2022-10-09,0.83,0.88,0.83,0.87,465
2022-10-10,0.87,0.87,0.8,0.8,472
2022-10-11,0.8,0.8,0.76,0.76,485
2022-10-12,0.76,0.78,0.76,0.78,484
2022-10-13,0.78,0.78,0.78,0.78,480
2022-10-14,0.78,0.78,0.77,0.77,481
2022-10-15,0.77,0.77,0.77,0.77,479
2022-10-16,0.77,0.77,0.75,0.77,477
2022-10-17,0.77,0.77,0.73,0.73,456
2022-10-18,0.73,0.73,0.73,0.73,455
2022-10-19,0.73,0.73,0.65,0.65,463
2022-10-20,0.65,0.77,0.6,0.77,457
2022-10-21,0.77,0.8,0.76,0.76,451
2022-10-22,0.76,0.76,0.7,0.7,441
2022-10-23,0.7,0.76,0.7,0.74,447
2022-10-24,0.74,0.74,0.719,0.719,449
2022-10-25,0.719,0.719,0.7,0.7,451
2022-10-26,0.7,0.7,0.68,0.68,452
2022-10-27,0.68,0.7,0.68,0.7,444
2022-10-28,0.7,0.7,0.67,0.67,441
2022-10-29,0.67,0.67,0.64,0.65,447
2022-10-30,0.65,0.7,0.65,0.7,442
2022-10-31,0.7,0.7,0.6,0.7,445
2022-11-01,0.7,0.7,0.6,0.65,443
2022-11-02,0.65,0.7,0.65,0.68,449
2022-11-03,0.68,0.68,0.6,0.68,445
2022-11-04,0.68,0.68,0.68,0.68,454
2022-11-05,0.68,0.68,0.65,0.65,451
2022-11-06,0.65,0.65,0.5,0.6,455
2022-11-07,0.6,0.69,0.55,0.69,429
2022-11-08,0.69,0.69,0.33,0.69,413
2022-11-09,0.69,1.0,0.69,1.0,388
2022-11-10,1.0,1.0,0.89,0.99,385
2022-11-11,0.99,0.99,0.89,0.89,397
2022-11-12,0.89,0.95,0.89,0.95,381
2022-11-13,0.95,1.4,0.95,1.4,342
2022-11-14,1.4,1.4,1.38,1.4,339
2022-11-15,1.4,1.4,1.3,1.399,334
2022-11-16,1.399,1.85,1.3,1.8,270
2022-11-17,1.8,1.8,1.5,1.6,291
2022-11-18,1.6,1.6,1.3,1.3,310
2022-11-19,1.3,1.3,1.1,1.1,305
2022-11-20,1.1,1.216,1.04,1.216,289
2022-11-21,1.216,1.6,1.216,1.6,270
2022-11-22,1.6,1.6,1.5,1.57,317
2022-11-23,1.57,1.57,1.3,1.3,324
2022-11-24,1.3,1.49,1.1,1.4,318
2022-11-25,1.4,1.49,1.4,1.4,317
2022-11-26,1.4,1.4,1.3,1.3,327
2022-11-27,1.3,1.4,1.2,1.2,330
2022-11-28,1.2,1.4,1.2,1.2,324
2022-11-29,1.2,1.25,1.2,1.23,314
2022-11-30,1.23,1.25,1.23,1.25,313
2022-12-01,1.25,1.25,1.2,1.2,312
2022-12-02,1.2,1.25,1.2,1.25,317
2022-12-03,1.25,1.25,0.9,1.25,314
2022-12-04,1.25,1.4,1.25,1.4,332
2022-12-05,1.4,1.4,1.38,1.38,340
2022-12-06,1.38,1.38,1.2,1.2,335
2022-12-07,1.2,1.2,1.1,1.15,325
2022-12-08,1.15,1.2,1.15,1.17,322
2022-12-09,1.17,1.39,1.17,1.35,323
2022-12-10,1.35,1.35,1.32,1.32,324
2022-12-11,1.32,1.5,1.32,1.5,306
2022-12-12,1.5,1.5,1.45,1.45,314
2022-12-13,1.45,1.45,1.35,1.35,337
2022-12-14,1.35,1.35,1.25,1.25,334
2022-12-15,1.25,1.25,1.15,1.159,331
2022-12-16,1.159,1.159,1.159,1.159,328
2022-12-17,1.159,1.159,1.05,1.05,330
2022-12-18,1.05,1.4,1.046,1.4,321
2022-12-19,1.4,1.4,1.3,1.4,319
2022-12-20,1.4,1.4,1.3,1.3,337
2022-12-21,1.3,1.39,1.3,1.39,331
2022-12-22,1.39,1.39,1.25,1.35,342
2022-12-23,1.35,1.35,1.35,1.35,343
2022-12-24,1.35,1.35,1.29,1.29,339
2022-12-25,1.29,1.29,1.2,1.27,336
2022-12-26,1.27,1.33,1.1,1.33,340
2022-12-27,1.33,1.33,1.15,1.15,351
2022-12-28,1.15,1.25,1.15,1.25,345
2022-12-29,1.25,1.3,1.1,1.3,344
2022-12-30,1.3,1.44,1.29,1.42,327
2022-12-31,1.42,1.42,1.2,1.3,330
2023-01-01,1.3,1.4,1.3,1.4,320
2023-01-02,1.4,1.74,1.4,1.74,293
2023-01-03,1.74,1.85,1.74,1.748,292
2023-01-04,1.748,2.0,1.7,1.9,264
2023-01-05,1.9,2.0,1.9,1.95,268
2023-01-06,1.95,1.95,1.91,1.91,272
2023-01-07,1.91,1.91,1.8,1.8,303
2023-01-08,1.8,1.9,1.8,1.9,301
2023-01-09,1.9,1.9,1.8,1.88,302
2023-01-10,1.88,1.88,1.83,1.83,302
2023-01-11,1.83,1.83,1.73,1.73,310
2023-01-12,1.73,1.73,1.61,1.61,305
2023-01-13,1.61,1.61,1.43,1.43,305
2023-01-14,1.43,1.43,0.85,1.12,318
2023-01-15,1.12,1.44,1.07,1.44,300
2023-01-16,1.44,1.44,1.29,1.29,302
2023-01-17,1.29,1.39,1.29,1.3,304
2023-01-18,1.3,1.3,1.2,1.29,306
2023-01-19,1.29,1.29,1.28,1.28,317
2023-01-20,1.28,1.28,1.2,1.2,318
2023-01-21,1.2,1.2,0.9849,1.05,321
2023-01-22,1.05,1.05,1.0,1.03,325
2023-01-23,1.03,1.03,0.85,0.88,327
2023-01-24,0.88,1.1,0.862,1.08,311
2023-01-25,1.08,1.08,1.08,1.08,309
2023-01-26,1.08,1.08,0.99,0.99,315
2023-01-27,0.99,0.99,0.99,0.99,317
2023-01-28,0.99,0.99,0.99,0.99,324
2023-01-29,0.99,0.99,0.88,0.88,318
2023-01-30,0.88,0.88,0.88,0.88,319
2023-01-31,0.88,0.88,0.75,0.88,319
2023-02-01,0.88,0.88,0.84,0.85,321
2023-02-02,0.85,0.85,0.69,0.696,336
2023-02-03,0.696,0.85,0.696,0.85,327
2023-02-04,0.85,0.85,0.85,0.85,331
2023-02-05,0.85,0.85,0.84,0.84,326
2023-02-06,0.84,0.84,0.84,0.84,331
2023-02-07,0.84,0.84,0.84,0.84,330
2023-02-08,0.84,0.84,0.84,0.84,330
2023-02-09,0.84,0.9,0.84,0.9,312
2023-02-10,0.9,1.0,0.9,1.0,315
2023-02-11,1.0,1.0,1.0,1.0,314
2023-02-12,1.0,1.0,1.0,1.0,317
2023-02-13,1.0,1.0,1.0,1.0,314
2023-02-14,1.0,1.2,1.0,1.2,299
2023-02-15,1.2,1.2,1.1,1.2,301
2023-02-16,1.2,1.24,1.2,1.23,301
2023-02-17,1.23,1.23,1.23,1.23,304
2023-02-18,1.23,1.4,1.23,1.4,302
2023-02-19,1.4,1.4,1.35,1.35,307
2023-02-20,1.35,1.35,1.35,1.35,306
2023-02-21,1.35,1.35,1.339,1.339,312
2023-02-22,1.339,1.339,1.2,1.339,327
2023-02-23,1.339,1.339,1.33,1.33,330
2023-02-24,1.33,1.33,1.3,1.3,336
2023-02-25,1.3,1.3,1.3,1.3,332
2023-02-26,1.3,1.3,1.28,1.28,337
2023-02-27,1.28,1.28,1.1,1.1,346
2023-02-28,1.1,1.19,1.1,1.15,344
2023-03-01,1.15,1.19,1.15,1.15,336
2023-03-02,1.15,1.15,1.15,1.15,334
2023-03-03,1.15,1.15,1.1,1.15,332
2023-03-04,1.15,1.15,1.15,1.15,337
2023-03-05,1.15,1.18,1.04,1.18,323
2023-03-06,1.18,1.18,1.0,1.169,329
2023-03-07,1.169,1.169,1.1,1.14,328
2023-03-08,1.14,1.14,0.99,0.99,346
2023-03-09,0.99,0.99,0.95,0.98,328
2023-03-10,0.98,1.169,0.98,1.16,327
2023-03-11,1.16,1.16,1.13,1.13,327
2023-03-12,1.13,1.13,1.089,1.089,333
2023-03-13,1.089,1.089,1.07,1.089,335
2023-03-14,1.089,1.089,0.99,0.99,338
2023-03-15,0.99,1.0,0.891,1.0,335
2023-03-16,1.0,1.0,1.0,1.0,336
2023-03-17,1.0,1.11,1.0,1.11,332
2023-03-18,1.11,1.15,1.1,1.15,321
2023-03-19,1.15,1.16,1.15,1.16,316
2023-03-20,1.16,1.33,1.16,1.33,319
2023-03-21,1.33,1.33,0.95,0.95,335
2023-03-22,0.95,1.0,0.9,0.99,338
2023-03-23,0.99,1.1,0.9,1.1,332
2023-03-24,1.1,1.14,1.08,1.08,345
2023-03-25,1.08,1.08,1.0,1.069,341
2023-03-26,1.069,1.079,0.9801,0.9801,340
2023-03-27,0.9801,1.1,0.9801,1.1,336
2023-03-28,1.1,1.1,1.1,1.1,338
2023-03-29,1.1,1.1,1.1,1.1,344
2023-03-30,1.1,1.15,1.1,1.1234,340
2023-03-31,1.1234,1.1234,1.09,1.09,341
2023-04-01,1.09,1.25,1.09,1.25,335
2023-04-02,1.25,1.3,1.238,1.3,333
2023-04-03,1.3,1.3,1.1,1.1,335
2023-04-04,1.1,1.3,1.1,1.2,339
2023-04-05,1.2,1.2,1.05,1.05,376
2023-04-06,1.05,1.2,0.8383,1.2,346
2023-04-07,1.2,1.2,1.19,1.19,350
2023-04-08,1.19,1.19,1.158,1.178,349
2023-04-09,1.178,1.178,0.9801,0.9801,355
2023-04-10,0.9801,0.9801,0.9603,0.9603,355
2023-04-11,0.9603,0.9603,0.82,0.82,358
2023-04-12,0.82,0.82,0.7425,0.75,364
2023-04-13,0.75,0.75,0.692,0.692,363
2023-04-14,0.692,1.1,0.6534,0.99,352
2023-04-15,0.99,0.99,0.99,0.99,352
2023-04-16,0.99,0.99,0.792,0.9,361
2023-04-17,0.9,0.9,0.85,0.85,361
2023-04-18,0.85,0.85,0.82,0.82,362
2023-04-19,0.82,0.82,0.82,0.82,361
2023-04-20,0.82,0.82,0.8,0.8,357
2023-04-21,0.8,0.8,0.8,0.8,378
2023-04-22,0.8,0.8,0.8,0.8,395
2023-04-23,0.8,0.8,0.8,0.8,394
2023-04-24,0.8,0.8,0.7,0.8,376
2023-04-25,0.8,1.0,0.8,1.0,371
2023-04-26,1.0,1.0,0.94,0.94,377
2023-04-27,0.94,0.94,0.89,0.89,380
2023-04-28,0.89,0.89,0.89,0.89,378
2023-04-29,0.89,0.89,0.799,0.799,379
2023-04-30,0.799,0.93,0.799,0.9,373
2023-05-01,0.9,0.9,0.88,0.88,372
2023-05-02,0.88,0.88,0.88,0.88,373
2023-05-03,0.88,0.88,0.87,0.87,376
2023-05-04,0.87,0.87,0.8,0.87,374
2023-05-05,0.87,0.87,0.85,0.85,371
2023-05-06,0.85,0.85,0.73,0.73,373
2023-05-07,0.73,0.85,0.73,0.85,366
2023-05-08,0.85,0.85,0.8217,0.8217,365
2023-05-09,0.8217,0.8217,0.8217,0.8217,369
2023-05-10,0.8217,0.8217,0.8217,0.8217,373
2023-05-11,0.8217,0.8217,0.8019,0.8019,375
2023-05-12,0.8019,0.8019,0.7,0.8019,376
2023-05-13,0.8019,0.8019,0.75,0.7821,374
2023-05-14,0.7821,0.7821,0.7821,0.7821,374
2023-05-15,0.7821,0.7821,0.7128,0.7128,370
2023-05-16,0.7128,0.79,0.7128,0.7524,364
2023-05-17,0.7524,0.7524,0.693,0.693,367
2023-05-18,0.693,0.693,0.6,0.693,359
2023-05-19,0.693,0.8,0.693,0.8,348
2023-05-20,0.8,0.8,0.8,0.8,357
2023-05-21,0.8,0.8,0.8,0.8,358
2023-05-22,0.8,0.8,0.8,0.8,357
2023-05-23,0.8,1.0,0.8,0.99,340
2023-05-24,0.99,0.99,0.89,0.89,340
2023-05-25,0.89,0.89,0.89,0.89,341
2023-05-26,0.89,0.89,0.89,0.89,361
2023-05-27,0.89,0.89,0.8781,0.8781,358
2023-05-28,0.8781,0.8781,0.8781,0.8781,361
2023-05-29,0.8781,0.8781,0.8781,0.8781,361
2023-05-30,0.8781,0.8781,0.8591,0.8591,363
2023-05-31,0.8591,0.8591,0.7982,0.7982,367
2023-06-01,0.7982,0.7982,0.6993,0.7,369
2023-06-02,0.7,0.7,0.7,0.7,374
2023-06-03,0.7,0.74,0.65,0.74,374
2023-06-04,0.74,0.74,0.719,0.719,387
2023-06-05,0.719,0.719,0.69,0.719,385
2023-06-06,0.719,0.719,0.719,0.719,387
2023-06-07,0.719,0.719,0.71,0.71,393
2023-06-08,0.71,0.719,0.71,0.719,388
2023-06-09,0.719,0.719,0.69,0.69,399
2023-06-10,0.69,1.0,0.69,1.0,351
2023-06-11,1.0,1.0,0.83,0.83,351
2023-06-12,0.83,0.83,0.57,0.83,350
2023-06-14,0.83,0.83,0.83,0.83,348
2023-06-15,0.83,0.83,0.83,0.83,350
2023-06-16,0.83,0.83,0.83,0.83,350
2023-06-17,0.83,0.83,0.829,0.829,350
2023-06-18,0.829,0.83,0.829,0.83,348
2023-06-19,0.83,1.1,0.83,1.1,328
2023-06-20,1.1,1.1,1.05,1.1,339
2023-06-21,1.1,1.1,1.09,1.09,343
2023-06-22,1.09,1.09,0.989,0.989,353
2023-06-23,0.989,0.989,0.87,0.88,349
2023-06-24,0.88,0.88,0.879,0.879,348
2023-06-25,0.879,0.879,0.869,0.869,351
2023-06-26,0.869,0.869,0.869,0.869,350
2023-06-27,0.869,0.8691,0.849,0.849,350
2023-06-28,0.849,0.8591,0.799,0.7992,348
2023-06-29,0.7992,0.7992,0.7992,0.7992,347
2023-06-30,0.7992,0.7992,0.7193,0.7193,346
2023-07-01,0.7193,0.7193,0.7193,0.7193,363
2023-07-02,0.7193,0.7193,0.6993,0.6993,363
2023-07-03,0.6993,0.6993,0.6993,0.6993,365
2023-07-04,0.6993,0.7,0.5994,0.7,362
2023-07-05,0.7,0.7,0.7,0.7,362
2023-07-06,0.7,0.7,0.7,0.7,361
2023-07-07,0.7,0.7,0.6993,0.6993,360
2023-07-08,0.6993,0.95,0.6993,0.95,362
2023-07-09,0.95,0.95,0.95,0.95,363
2023-07-10,0.95,0.95,0.95,0.95,367
2023-07-11,0.95,0.95,0.95,0.95,371
2023-07-12,0.95,0.95,0.9,0.9,370
2023-07-13,0.9,0.9,0.6,0.9,385
2023-07-14,0.9,0.9,0.6,0.9,363
2023-07-15,0.9,0.9,0.8,0.8,367
2023-07-16,0.8,0.8,0.8,0.8,381
2023-07-17,0.8,0.8,0.8,0.8,382
2023-07-18,0.8,0.8,0.79,0.79,390
2023-07-19,0.79,0.79,0.75,0.79,368
2023-07-20,0.79,0.79,0.6,0.6,375
2023-07-21,0.6,0.79,0.6,0.79,370
2023-07-22,0.79,0.79,0.79,0.79,367
2023-07-23,0.79,0.79,0.79,0.79,375
2023-07-24,0.79,0.79,0.78,0.78,375
2023-07-25,0.78,0.78,0.7,0.7,375
2023-07-26,0.7,0.7792,0.6993,0.7792,373
2023-07-27,0.7792,0.7792,0.6993,0.6993,374
2023-07-28,0.6993,0.7792,0.6993,0.7782,373
2023-07-29,0.7782,0.7782,0.7782,0.7782,373
2023-07-30,0.7782,0.7782,0.6494,0.6494,389
2023-07-31,0.6494,0.9,0.6494,0.89,365
2023-08-01,0.89,0.89,0.89,0.89,366
2023-08-02,0.89,0.89,0.89,0.89,365
2023-08-03,0.89,0.9,0.89,0.9,368
2023-08-04,0.9,0.9,0.9,0.9,368
2023-08-05,0.9,0.9,0.89,0.89,372
2023-08-06,0.89,0.89,0.89,0.89,371
2023-08-07,0.89,0.89,0.89,0.89,372
2023-08-08,0.89,0.89,0.8,0.8,374
2023-08-09,0.8,0.8,0.8,0.8,393
2023-08-10,0.8,0.8,0.8,0.8,393
2023-08-11,0.8,0.8,0.8,0.8,396
2023-08-12,0.8,0.8,0.79,0.79,399
2023-08-13,0.79,0.79,0.78,0.78,399
2023-08-14,0.78,0.78,0.78,0.78,399
2023-08-15,0.78,0.78,0.78,0.78,401
2023-08-16,0.78,0.78,0.78,0.78,401
2023-08-17,0.78,0.78,0.78,0.78,402
2023-08-18,0.78,0.78,0.6,0.6,406
2023-08-19,0.6,0.78,0.6,0.77,403
2023-08-20,0.77,0.77,0.77,0.77,403
2023-08-21,0.77,0.77,0.737,0.737,410
2023-08-22,0.737,0.737,0.737,0.737,393
2023-08-23,0.737,0.737,0.71,0.71,416
2023-08-24,0.71,0.71,0.71,0.71,414
2023-08-25,0.71,0.71,0.683,0.683,413
2023-08-26,0.683,0.683,0.683,0.683,414
2023-08-27,0.683,0.683,0.683,0.683,414
2023-08-28,0.683,0.737,0.683,0.737,411
